Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
78919,52692749,VividSeats,Rauw Alejandro,Moody Center ATX,2023-04-16 19:00:00,108,D,10,10,1,2023-04-15 11:08:00,125.0,162.75,125.0,162.75,37.75,30.2,23.2,0,0
75871,41287630,TicketNetwork,Foreigner,Moody Center ATX,2023-08-14 19:00:00,106,F,1,2,2,2023-03-13 12:04:00,150.0,165.3,300.0,330.6,30.6,10.2,9.26,0,0
74610,512406635,VGG,Journey,Moody Center ATX,2023-02-22 19:30:00,106,E,1,2,2,2023-02-22 17:36:00,150.0,126.9,300.0,253.8,-46.2,0.0,18.2,0,0
86788,55301393,VividSeats,Dave Chappelle,Moody Center ATX,2023-07-15 19:30:00,108,D,7,7,1,2023-07-13 21:44:00,200.0,219.48,200.0,219.48,19.48,9.74,8.88,0,0
92117,o3ypi1259gx,SeatGeek,Sam Smith,Moody Center ATX,2023-09-05 20:00:00,108,E,9,10,2,2023-09-02 05:48:00,200.0,47.04,400.0,94.08,-305.92,0.0,325.17,0,0
73350,gp1gs7dl806,SeatGeek,Cody Johnson,Moody Center ATX,2023-02-25 19:00:00,106,F,1,4,4,2023-01-08 16:58:00,150.0,293.02,600.0,1172.08,572.08,95.35,48.81,0,0
72880,m6w0f7yk3r6,SeatGeek,Elevation Worship & Steven Furtick,Moody Center ATX,2023-04-18 19:00:00,106,C,3,4,2,2022-12-09 19:45:00,150.0,195.02,300.0,390.04,90.04,30.01,23.08,0,0
77802,514246630,VGG,Rauw Alejandro,Moody Center ATX,2023-04-16 19:00:00,108,E,1,2,2,2023-04-03 10:05:00,125.0,168.26,250.0,336.52,86.52,34.61,25.71,0,0
86842,l8ymckwp7en,SeatGeek,Tears for Fears,Moody Center ATX,2023-07-17 19:30:00,106,C,3,4,2,2023-07-14 15:14:00,200.0,95.04,400.0,190.08,-209.92,0.0,110.44,0,0
91662,912382648,TickPick,PBR Team Series: Gambler Days,Moody Center ATX,2023-08-27 13:45:00,108,D,11,12,2,2023-08-26 15:44:00,200.0,33.3,400.0,66.6,-333.4,0.0,500.6,0,0
92208,57023019,VividSeats,Sting,Moody Center ATX,2023-09-17 20:00:00,108,E,13,14,2,2023-09-03 10:23:00,200.0,190.65,400.0,381.3,-18.7,0.0,4.9,0,0
86939,gp1gs792v7n,SeatGeek,Dave Chappelle,Moody Center ATX,2023-07-15 19:30:00,106,B,15,16,2,2023-07-15 12:43:00,200.0,287.04,400.0,574.08,174.08,43.52,30.32,0,0
77820,pwy1i598ndp,SeatGeek,Monster Jam,Moody Center ATX,2023-04-22 19:00:00,108,E,10,13,4,2023-04-03 14:27:00,125.0,81.6,500.0,326.4,-173.6,0.0,53.19,0,0
73751,VMQUOVPDNJ,Gametime,Adam Sandler,Moody Center ATX,2023-02-14 19:30:00,108,E,5,6,2,2023-01-29 21:42:00,150.0,308.75,300.0,617.5,317.5,105.83,51.42,0,0
84801,518015855,VGG,Blink-182,Moody Center ATX,2023-07-07 19:30:00,106,B,5,6,2,2023-06-18 14:38:00,250.0,422.06,500.0,844.12,344.12,68.82,40.77,0,0
90915,56416088,VividSeats,Jurassic World Live Tour,Moody Center ATX,2023-08-19 11:00:00,108,B,1,2,2,2023-08-16 22:55:00,75.0,43.71,150.0,87.42,-62.58,0.0,71.59,0,0
91189,gp1gs0glwv2,SeatGeek,PBR Team Series: Gambler Days,Moody Center ATX,2023-08-26 18:45:00,108,D,15,18,4,2023-08-20 08:30:00,200.0,75.84,800.0,303.36,-496.64,0.0,163.71,0,0
92522,522307982,VGG,Drake and 21 Savage,Moody Center ATX,2023-09-11 20:00:00,109,BAR,3,4,2,2023-09-07 16:25:00,300.0,469.06,600.0,938.12,338.12,56.35,36.04,0,0
