Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
91738,56779199,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,1,8/27/2023 01:32 PM,$ 50.00,$ 62.31,$ 50.00,$ 62.31,$ 12.31,24.62,19.76,$ 0.00,$ 0.00
90663,520902174,VGG,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,2,8/12/2023 06:27 PM,$ 50.00,$ 121.26,$ 100.00,$ 242.52,$ 142.52,142.52,58.77,$ 0.00,$ 0.00
91481,56685480,VividSeats,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,1,8/25/2023 08:35 AM,$ 50.00,$ 76.26,$ 50.00,$ 76.26,$ 26.26,52.52,34.43,$ 0.00,$ 0.00
91523,82368456,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,1,8/25/2023 12:11 PM,$ 50.00,$ 87.40,$ 50.00,$ 87.40,$ 37.40,74.80,42.79,$ 0.00,$ 0.00
91635,521629709,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,SUNDAY,0,0,1,8/26/2023 01:36 PM,$ 50.00,$ 70.50,$ 50.00,$ 70.50,$ 20.50,41.00,29.08,$ 0.00,$ 0.00
91642,56746156,VividSeats,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,1,8/26/2023 02:13 PM,$ 50.00,$ 66.96,$ 50.00,$ 66.96,$ 16.96,33.92,25.33,$ 0.00,$ 0.00
91386,521459776,VGG,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,3,8/23/2023 02:39 PM,$ 50.00,$ 89.30,$ 150.00,$ 267.90,$ 117.90,78.60,44.01,$ 0.00,$ 0.00
91542,521572566,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,SUNDAY,0,0,1,8/25/2023 03:25 PM,$ 50.00,$ 79.90,$ 50.00,$ 79.90,$ 29.90,59.80,37.42,$ 0.00,$ 0.00
91751,56782355,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,2,8/27/2023 03:09 PM,$ 50.00,$ 62.31,$ 100.00,$ 124.62,$ 24.62,24.62,19.76,$ 0.00,$ 0.00
90525,520766070,VGG,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,1,8/10/2023 06:42 PM,$ 50.00,$ 121.26,$ 50.00,$ 121.26,$ 71.26,142.52,58.77,$ 0.00,$ 0.00
