Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
82165,516444623,VGG,"Austin City Limits Music Festival with Kendrick Lamar, Shania Twain, Hozier and more - Weekend One - 3 Day Pass (10/6-10/8)",Zilker Park,2023-10-06 11:59:00,General Admission,3DAY,0,0,2,2023-05-18 10:48:00,327.33,375.06,654.66,750.12,95.46,14.58,12.73,0,0
88014,55845522,VividSeats,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,2,2023-07-31 23:39:00,327.33,430.59,654.66,861.18,206.52,31.55,23.98,0,0
90978,521170132,VGG,"Austin City Limits Festival - Weekend Two - Saturday Only (Foo Fighters, The 1975, Alanis Morissette and more)",Zilker Park,2023-10-14 13:00:00,General Admission,Saturday,0,0,2,2023-08-17 21:56:00,163.22,249.1,326.44,498.2,171.76,52.62,34.48,0,0
72743,509181389,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,2,2022-11-26 14:46:00,163.22,187.06,326.44,374.12,47.68,14.61,12.74,0,0
86100,518933363,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,2,2023-07-07 21:43:00,163.22,173.9,326.44,347.8,21.36,6.54,6.14,0,0
94145,57834744,VividSeats,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,1,2023-09-26 12:20:00,375.0,430.59,375.0,430.59,55.59,14.82,12.91,0,0
93691,522955376,VGG,"Austin City Limits Music Festival with Kendrick Lamar, Shania Twain, Hozier and more - Weekend One - 3 Day Pass (10/6-10/8)",Zilker Park,2023-10-06 11:59:00,General Admission,3DAY,0,0,2,2023-09-18 19:45:00,327.33,422.06,654.66,844.12,189.46,28.94,22.44,0,0
91334,66m0f21o5nv,SeatGeek,"Austin City Limits Festival - Weekend Two - Saturday Only (Foo Fighters, The 1975, Alanis Morissette and more)",Zilker Park,2023-10-14 13:00:00,General Admission,Saturday,0,0,2,2023-08-22 15:29:00,163.22,264.0,326.44,528.0,201.56,61.74,38.17,0,0
95006,523885265,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,1,2023-10-06 07:06:00,163.22,187.06,163.22,187.06,23.84,14.61,12.74,0,0
94207,523406010,VGG,"Austin City Limits Festival - Weekend Two - Saturday Only (Foo Fighters, The 1975, Alanis Morissette and more)",Zilker Park,2023-10-14 13:00:00,General Admission,Saturday,0,0,3,2023-09-27 09:56:00,163.22,267.9,489.66,803.7,314.04,64.13,39.07,0,0
94987,523879940,VGG,"Austin City Limits Festival - Weekend Two - Saturday Only (Foo Fighters, The 1975, Alanis Morissette and more)",Zilker Park,2023-10-14 13:00:00,General Admission,Saturday,0,0,1,2023-10-06 00:40:00,163.22,234.06,163.22,234.06,70.84,43.4,30.27,0,0
94359,57949245,VividSeats,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,2,2023-09-29 16:29:00,375.0,407.34,750.0,814.68,64.68,8.62,7.94,0,0
86368,519015810,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,1,2023-07-09 14:40:00,163.22,211.5,163.22,211.5,48.28,29.58,22.83,0,0
84513,517876528,VGG,"Austin City Limits Festival - Weekend Two - Saturday Only (Foo Fighters, The 1975, Alanis Morissette and more)",Zilker Park,2023-10-14 13:00:00,General Admission,Saturday,0,0,2,2023-06-16 07:11:00,163.22,187.06,326.44,374.12,47.68,14.61,12.74,0,0
